SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,CONCAT_ADDRESS
19457,CDM,PPD,C16029,1-YF93FX,,United_States,northwest georgia oncology centers pc,georgia,carrollton,30117,,157 clinic avenue
19458,CDM,PPD,SHP647-306,1-25ZAGGV,,United_States,west georgia gastroenterology,georgia,carrollton,30117,,157 clinic avenuesuite 201
19465,CDM,PPD,SHP647-303,1-247A570,,United_States,digestive healthcare of georgia pc,georgia,jasper,30143,,134 mountainside village parkway building 500
19472,CDM,PPD,SHP647-305,1-1117TOZ,,United_States,prism research group llc,georgia,rome,30165,,101 john maddox drive
19474,CDM,PPD,SHP647-306,1-25ZAGJL,,United_States,rome gi,georgia,rome,30165,,11 john maddox drive
19481,CDM,PPD,SHP647-306,1-25ZAGKX,,United_States,advanced gastroenterology group,georgia,woodstock,30189,,4595 towne lake parkwaybldg 300 suite 200
19488,CDM,PPD,SHP647-301,1-ZGHKIF,,United_States,piedmont fayetteville hospital,georgia,fayetteville,30214,,1265 highway 54 wsuite 402
19490,CDM,PPD,SHP621-301,1-HKRK3T,,United_States,atlanta gastroenterology associates,georgia,griffin,30224,,226 east college streetsuite b
19491,CDM,PPD,SHP647-306,306-825,,United_States,infinite clinical trials,georgia,morrow,30260,,6685 merchants way
19496,CDM,PPD,SHP647-302,1-15V8339,,United_States,digestive and liver specialists,georgia,newnan,30263,,58 hospital roadsuite 1010
19504,CDM,PRA,SYR-322_309,58033,1-1L3IANX,United_States,endocrine consultants research  oak hill court,ga,newnan,30265,,39 oak hill courtbuilding c
19505,CDM,PPD,NSMM-5001,1-M5FMP3,,United_States,southeastern regional medical center  ctca  ppds,georgia,newnan,30265,,600 parkway northmedical oncology services
19506,CDM,PPD,SHP647-305,1-14GB67A,,United_States,infinite clinical trials,georgia,riverdale,30274,,113 upper riverdale road
19509,CDM,IQVIA,TAK-925-2002,58017,1-4SBARAO,United_States,global research associates,stockbridge,georgia,30281,,1215 eagles landing pkwysuite 209
19511,CDM,PPD,SHP647-305,1-24SZ0IS,,United_States,eagles landing gastroenterology pc,georgia,stockbridge,302815047,,1500 rock quarry road
19518,CDM,PRA,C16038,10036,1-1Q3IRGC,United_States,winship cancer institute of emory university,ga,atlanta,30303001,,80 jesse hill drive southeast
19519,CDM,PPD,MLN0002-3024,1-7JU6M3B,,United_States,emory university school of medicine,georgia,atlanta,303033031,,80 jesse hill jr dr se
19520,CDM,PPD,VDZ-5034,58033,,United_States,atlanta gastroenterology specialists pc,georgia,atlanta,30308,,associates llc 550 peachtreedunwoody roadsuite 1600
19521,CDM,PRA,Pevonedistat-1015,58003,1-1KHE33A,United_States,emory university,ga,atlanta,30308,,550 peachtree street northeast
19522,CDM,IQVIA,161406,161406-112,1-22RGF8D,United_States,emory university hospital  midtown,atlanta,georgia,30308,,550 peachtree st neglenn building lobby level
19524,CDM,IQVIA,Vedolizumab-4014,58086,1-2R1NFYM,United_States,atlanta gastroenterology associates llc,atlanta,georgia,30309,,1355 peachtree street nesuite 1600
19525,CDM,PPD,SHP647-302,1-166VPUR,,United_States,digestive healthcare of georgia pc,georgia,atlanta,30309,,95 collier road nwsuite 4055
19532,CDM,PPD,C16029,1-YQMMNC,,United_States,piedmont hospital,georgia,atlanta,30309,,105 collier road northwestsuite 3040
19534,CDM,PPD,SHP647-301,1-ZGYEB1,,United_States,shepherd center,georgia,atlanta,30309,,1968 peachtree road northwest
19536,CDM,PPD,VDZ-5034,58045,,United_States,atlanta gastroenterology associates,georgia,atlanta,30312,,340 boulevard northeastsuite 600
19537,CDM,PPD,C16019,1-CIZIG7,,United_States,peachtree hematology oncology consultants,georgia,atlanta,30318,,1800 howell mill roadsuite 800
19539,CDM,PPD,SHP611-201,104,,United_States,rare disease research llc,georgia,atlanta,30318,,1891 howell mill road nwground floor research office
19540,CDM,PRA,Vedolizumab-3035,58039,1-1OZBSK7,United_States,childrens healthcare of atlanta,ga,atlanta,30322,,1405 east clifton road northeast
19542,CDM,PPD,Brigatinib-1003,1-619XIK0,,United_States,childrens healthcare of atlanta  aflac cancer and blood disorders center  egleston hospital,georgia,atlanta,30322,,1405 clifton road neegleston hospitalaflac cancer and blood disorders center
19545,CDM,IQVIA,TED-R13-002,0550,1-13YFKRE,United_States,emory university,atlanta,georgia,30322,,101 woodruff circlesuite 6339
19547,CDM,PPD,SHP620-302,014,,United_States,emory university,georgia,atlanta,30322,,101 woodruff circlewoodruff memorial research buildingsuite 2101
19550,CDM,PPD,C16027,58003,,United_States,emory university,georgia,atlanta,30322,,1364 clifton road northeastbuilding c
19551,CDM,PPD,C16014,58040,,United_States,emory university,georgia,atlanta,30322,,1365 clifton road northeast
19556,CDM,PRA,AP24534-14-203,058,1-1FBKO7P,United_States,emory university  winship cancer institute,ga,atlanta,30322,,1365 clifton road
